5_o_Clock_Shadow,5_o_Clock_Shadow,stubble,beard,facial hair,scruff,shadow
Arched_Eyebrows,Arched_Eyebrows,raised eyebrows,brows,eyebrow arches,arched brows,lifted brows
Attractive,Attractive,good-looking,appealing,handsome,beautiful,pretty
Bags_Under_Eyes,Bags_Under_Eyes,eye bags,dark circles,puffy eyes,under-eye bags,bags
Bald,Bald,hairless,shaved,balding,scalp,chrome dome
Bangs,Bangs,fringe,forelock,hair in face,hair over forehead,cut bangs
Big_Lips,Big_Lips,full lips,plump lips,thick lips,pouty lips,big pucker
Big_Nose,Big_Nose,large nose,prominent nose,big schnoz,beak,hooter
Black_Hair,Black_Hair,dark hair,raven hair,jet black,black locks,ebony tresses
Blond_Hair,Blond_Hair,blonde hair,light hair,platinum blonde,sandy hair,golden locks
Blurry,Blurry,out of focus,unclear,fuzzy,blurred,hazy
Brown_Hair,Brown_Hair,brunette,chestnut hair,chocolate locks,auburn hair,tawny tresses
Bushy_Eyebrows,Bushy_Eyebrows,thick eyebrows,bushy brows,full eyebrows,hairy brows,luxuriant eyebrows
Chubby,Chubby,plump,round-faced,pudgy,portly,curvy
Double_Chin,Double_Chin,extra chin,fat neck,jowls,turkey neck,neck wattle
Eyeglasses,Eyeglasses,glasses,spectacles,specs,frames,lenses
Goatee,Goatee,facial hair,chin hair,soul patch,beard,moustache
Gray_Hair,Gray_Hair,grey hair,silver locks,white hair,salt-and-pepper hair,ashen tresses
Heavy_Makeup,Heavy_Makeup,thick makeup,dramatic makeup,caked-on makeup,overdone makeup,paint
High_Cheekbones,High_Cheekbones,prominent cheekbones,defined cheekbones,sharp cheekbones,angular cheeks,elevated cheekbones
Male,Male,man,boy,gentleman,dude,fellow
Mouth_Slightly_Open,Mouth_Slightly_Open,parted lips,slightly agape,open mouth,gaping mouth,mouth ajar
Mustache,Mustache,facial hair,moustache,whiskers,lip hair,stache
Narrow_Eyes,Narrow_Eyes,squinty eyes,small eyes,slitted eyes,beady eyes,narrowed gaze
No_Beard,No_Beard,clean-shaven,beardless,baby-faced,razor smooth,smooth-shaven
Oval_Face,Oval_Face,elliptical face,egg-shaped face,oblong face,rounded rectangle face,elongated face
Pale_Skin,Pale_Skin,fair skin,light complexion,pale complexion,milky-white skin,ghostly skin
Pointy_Nose,Pointy_Nose,sharp nose,long nose,beak-like nose,hawk-like nose,aquiline nose
Receding_Hairline,Receding_Hairline,thinning hair,balding hair,hair loss,widening forehead,receding forehead
Rosy_Cheeks,Rosy_Cheeks,flushed cheeks,pink cheeks,blushing,rosy glow,red cheeks
Sideburns,Sideburns,facial hair,side whiskers,side hair,burnsides,side chops
Smiling,Smiling,grinning,beaming,smiling ear-to-ear,smiling from ear to ear,smiling broadly
Straight_Hair,Straight_Hair,straight locks,sleek hair,smooth hair,pin-straight hair,silky hair
Wavy_Hair,Wavy_Hair,wavy locks,curly hair,undulating hair,flowing hair,rippled hair
Wearing_Earrings,Wearing_Earrings,earrings,dangly earrings,stud earrings,hoop earrings,chandelier earrings
Wearing_Hat,Wearing_Hat,hat,cap,fedora,beanie,top hat
Wearing_Lipstick,Wearing_Lipstick,lipstick,red lips,pink lips,bright lips,rouge
Wearing_Necklace,Wearing_Necklace,necklace,pendant,chain,beads,pearls
Wearing_Necktie,Wearing_Necktie,necktie,tie,bowtie,cravat,ascot
Young,Young,youthful,juvenile,fresh-faced,young-looking,inexperienced
